fips,latitude,longitude
18001,40.745733,-84.936130
18003,41.091855,-85.072230
18005,39.205843,-85.897999
18007,40.608253,-87.315479
18009,40.472672,-85.323730
18011,40.050892,-86.469014
18013,39.192585,-86.239410
18015,40.584980,-86.565141
18017,40.753799,-86.355168
18019,38.476217,-85.711122
18021,39.393951,-87.115837
18023,40.305944,-86.477567
18025,38.289433,-86.440871
18027,38.696155,-87.076988
18029,39.151491,-84.973460
18031,39.305980,-85.499831
18033,41.401189,-85.000185
18035,40.227165,-85.398856
18037,38.373344,-86.873385
18039,41.600693,-85.863986
18041,39.639655,-85.185032
18043,38.317936,-85.911474
18045,40.121282,-87.234806
18047,39.409762,-85.066964
18049,41.050384,-86.265006
18051,38.317413,-87.580566
18053,40.515758,-85.654946
18055,39.048600,-87.005245
18057,40.049870,-86.020586
18059,39.822604,-85.772904
18061,38.186440,-86.103681
18063,39.768749,-86.510286
18065,39.929576,-85.397338
18067,40.483537,-86.114118
18069,40.826394,-85.478597
18071,38.911957,-86.042516
18073,41.017688,-87.118814
18075,40.434972,-85.003380
18077,38.783604,-85.440090
18079,38.996234,-85.628111
18081,39.495986,-86.094600
18083,38.688663,-87.420182
18085,41.244293,-85.861575
18087,41.642468,-85.426302
18089,41.472239,-87.374337
18091,41.549011,-86.744729
18093,38.839815,-86.487820
18095,40.166203,-85.722454
18097,39.782976,-86.135794
18099,41.325003,-86.269036
18101,38.705322,-86.801847
18103,40.772881,-86.044258
18105,39.160751,-86.523325
18107,40.040296,-86.892715
18109,39.482646,-86.447457
18111,40.962399,-87.402172
18113,41.400794,-85.417850
18115,38.940527,-84.964299
18117,38.547381,-86.489257
18119,39.317339,-86.838845
18121,39.774250,-87.196950
18123,38.081436,-86.626540
18125,38.397898,-87.232532
18127,41.509922,-87.071308
18129,38.027614,-87.868653
18131,41.045272,-86.692538
18133,39.665544,-86.853325
18135,40.164414,-85.005004
18137,39.100230,-85.260541
18139,39.622312,-85.466526
18141,41.617699,-86.288159
18143,38.679431,-85.751898
18145,39.524135,-85.792174
18147,38.009789,-87.010645
18149,41.283220,-86.647570
18151,41.643437,-85.002467
18153,39.089225,-87.415843
18155,38.825846,-85.029679
18157,40.389260,-86.893943
18159,40.310229,-86.056207
18161,39.623111,-84.925152
18163,38.020070,-87.586166
18165,39.854045,-87.462071
18167,39.429143,-87.390375
18169,40.843717,-85.795175
18171,40.352658,-87.375847
18173,38.097764,-87.272023
18175,38.600612,-86.104751
18177,39.863091,-85.006735
18179,40.735273,-85.212974
18181,40.750950,-86.864293
18183,41.136426,-85.501892
39001,38.841681,-83.474173
39003,40.771528,-84.106546
39005,40.843274,-82.270121
39007,41.906644,-80.745641
39009,39.333848,-82.046008
39011,40.561309,-84.224018
39013,40.017682,-80.967727
39015,38.931377,-83.866772
39017,39.439915,-84.565397
39019,40.579884,-81.090787
39021,40.132759,-83.767542
39023,39.917032,-83.783676
39025,39.052084,-84.149614
39027,39.414041,-83.814542
39029,40.768462,-80.777231
39031,40.296720,-81.930112
39033,40.848508,-82.924771
39035,41.760392,-81.724217
39037,40.132176,-84.620438
39039,41.321679,-84.486433
39041,40.278941,-83.007462
39043,41.554006,-82.525897
39045,39.752935,-82.628276
39047,39.553845,-83.459327
39049,39.969447,-83.008258
39051,41.597264,-84.124267
39053,38.817046,-82.301746
39055,41.499322,-81.173505
39057,39.687479,-83.894894
39059,40.056665,-81.497875
39061,39.196927,-84.544187
39063,41.000471,-83.666034
39065,40.660415,-83.664077
39067,40.292318,-81.091565
39069,41.335072,-84.065882
39071,39.184488,-83.603668
39073,39.490342,-82.483445
39075,40.565309,-81.929869
39077,41.145080,-82.594641
39079,39.013477,-82.614142
39081,40.399188,-80.761410
39083,40.403620,-82.422393
39085,41.924116,-81.392643
39087,38.603866,-82.517186
39089,40.093609,-82.481251
39091,40.387553,-83.766343
39093,41.438805,-82.179722
39095,41.682321,-83.468867
39097,39.896607,-83.400885
39099,41.010880,-80.770396
39101,40.588208,-83.172927
39103,41.116051,-81.899566
39105,39.089807,-82.028397
39107,40.535333,-84.632059
39109,40.053326,-84.228413
39111,39.725969,-81.090658
39113,39.755218,-84.290545
39115,39.624946,-81.861699
39117,40.525266,-82.797729
39119,39.966046,-81.943506
39121,39.767232,-81.452604
39123,41.544467,-83.009253
39125,41.119141,-84.576966
39127,39.743187,-82.237952
39129,39.648947,-83.052827
39131,39.071365,-83.052921
39133,41.168640,-81.196932
39135,39.737906,-84.645358
39137,41.024533,-84.129879
39139,40.774167,-82.542715
39141,39.323762,-83.059585
39143,41.355291,-83.142735
39145,38.815019,-82.999028
39147,41.120008,-83.127436
39149,40.336680,-84.204142
39151,40.814131,-81.365667
39153,41.121851,-81.534936
39155,41.308936,-80.767656
39157,40.447441,-81.471157
39159,40.295901,-83.367042
39161,40.855520,-84.585775
39163,39.252014,-82.485961
39165,39.425652,-84.169906
39167,39.450684,-81.490653
39169,40.829661,-81.887194
39171,41.564958,-84.584323
